order,character,unicode,category,tier,frequency_rank,pinyin,stroke_count,source
1,的,U+7684,hanzi_frequency,phase1,1,de,8,Jun Da frequency list; filtered by General Standard Level 1
2,一,U+4E00,hanzi_frequency,phase1,2,yī,1,Jun Da frequency list; filtered by General Standard Level 1
3,是,U+662F,hanzi_frequency,phase1,3,shì,9,Jun Da frequency list; filtered by General Standard Level 1
4,不,U+4E0D,hanzi_frequency,phase1,4,bù,4,Jun Da frequency list; filtered by General Standard Level 1
5,了,U+4E86,hanzi_frequency,phase1,5,le,2,Jun Da frequency list; filtered by General Standard Level 1
6,在,U+5728,hanzi_frequency,phase1,6,zài,6,Jun Da frequency list; filtered by General Standard Level 1
7,人,U+4EBA,hanzi_frequency,phase1,7,rén,2,Jun Da frequency list; filtered by General Standard Level 1
8,有,U+6709,hanzi_frequency,phase1,8,yǒu,6,Jun Da frequency list; filtered by General Standard Level 1
9,我,U+6211,hanzi_frequency,phase1,9,wǒ,7,Jun Da frequency list; filtered by General Standard Level 1
10,他,U+4ED6,hanzi_frequency,phase1,10,tā,5,Jun Da frequency list; filtered by General Standard Level 1
11,这,U+8FD9,hanzi_frequency,phase1,11,zhè,7,Jun Da frequency list; filtered by General Standard Level 1
12,个,U+4E2A,hanzi_frequency,phase1,12,gè,3,Jun Da frequency list; filtered by General Standard Level 1
13,们,U+4EEC,hanzi_frequency,phase1,13,men,5,Jun Da frequency list; filtered by General Standard Level 1
14,中,U+4E2D,hanzi_frequency,phase1,14,zhōng,4,Jun Da frequency list; filtered by General Standard Level 1
15,来,U+6765,hanzi_frequency,phase1,15,lái,7,Jun Da frequency list; filtered by General Standard Level 1
16,上,U+4E0A,hanzi_frequency,phase1,16,shàng,3,Jun Da frequency list; filtered by General Standard Level 1
17,大,U+5927,hanzi_frequency,phase1,17,dà,3,Jun Da frequency list; filtered by General Standard Level 1
18,为,U+4E3A,hanzi_frequency,phase1,18,wèi,4,Jun Da frequency list; filtered by General Standard Level 1
19,和,U+548C,hanzi_frequency,phase1,19,hé,8,Jun Da frequency list; filtered by General Standard Level 1
20,国,U+56FD,hanzi_frequency,phase1,20,guó,8,Jun Da frequency list; filtered by General Standard Level 1
21,地,U+5730,hanzi_frequency,phase1,21,de,6,Jun Da frequency list; filtered by General Standard Level 1
22,到,U+5230,hanzi_frequency,phase1,22,dào,8,Jun Da frequency list; filtered by General Standard Level 1
23,以,U+4EE5,hanzi_frequency,phase1,23,yǐ,4,Jun Da frequency list; filtered by General Standard Level 1
24,说,U+8BF4,hanzi_frequency,phase1,24,shuō,9,Jun Da frequency list; filtered by General Standard Level 1
25,时,U+65F6,hanzi_frequency,phase1,25,shí,7,Jun Da frequency list; filtered by General Standard Level 1
26,要,U+8981,hanzi_frequency,phase1,26,yào,9,Jun Da frequency list; filtered by General Standard Level 1
27,就,U+5C31,hanzi_frequency,phase1,27,jiù,12,Jun Da frequency list; filtered by General Standard Level 1
28,出,U+51FA,hanzi_frequency,phase1,28,chū,5,Jun Da frequency list; filtered by General Standard Level 1
29,会,U+4F1A,hanzi_frequency,phase1,29,huì,6,Jun Da frequency list; filtered by General Standard Level 1
30,可,U+53EF,hanzi_frequency,phase1,30,kě,5,Jun Da frequency list; filtered by General Standard Level 1
31,也,U+4E5F,hanzi_frequency,phase1,31,yě,3,Jun Da frequency list; filtered by General Standard Level 1
32,你,U+4F60,hanzi_frequency,phase1,32,nǐ,7,Jun Da frequency list; filtered by General Standard Level 1
33,对,U+5BF9,hanzi_frequency,phase1,33,duì,5,Jun Da frequency list; filtered by General Standard Level 1
34,生,U+751F,hanzi_frequency,phase1,34,shēng,5,Jun Da frequency list; filtered by General Standard Level 1
35,能,U+80FD,hanzi_frequency,phase1,35,néng,10,Jun Da frequency list; filtered by General Standard Level 1
36,而,U+800C,hanzi_frequency,phase1,36,ér,6,Jun Da frequency list; filtered by General Standard Level 1
37,子,U+5B50,hanzi_frequency,phase1,37,zi,3,Jun Da frequency list; filtered by General Standard Level 1
38,那,U+90A3,hanzi_frequency,phase1,38,nà,6,Jun Da frequency list; filtered by General Standard Level 1
39,得,U+5F97,hanzi_frequency,phase1,39,dé,11,Jun Da frequency list; filtered by General Standard Level 1
40,于,U+4E8E,hanzi_frequency,phase1,40,yú,3,Jun Da frequency list; filtered by General Standard Level 1
41,着,U+7740,hanzi_frequency,phase1,41,zhe,11,Jun Da frequency list; filtered by General Standard Level 1
42,下,U+4E0B,hanzi_frequency,phase1,42,xià,3,Jun Da frequency list; filtered by General Standard Level 1
43,自,U+81EA,hanzi_frequency,phase1,43,zì,6,Jun Da frequency list; filtered by General Standard Level 1
44,之,U+4E4B,hanzi_frequency,phase1,44,zhī,3,Jun Da frequency list; filtered by General Standard Level 1
45,年,U+5E74,hanzi_frequency,phase1,45,nián,6,Jun Da frequency list; filtered by General Standard Level 1
46,过,U+8FC7,hanzi_frequency,phase1,46,guò,6,Jun Da frequency list; filtered by General Standard Level 1
47,发,U+53D1,hanzi_frequency,phase1,47,fā,5,Jun Da frequency list; filtered by General Standard Level 1
48,后,U+540E,hanzi_frequency,phase1,48,hòu,6,Jun Da frequency list; filtered by General Standard Level 1
49,作,U+4F5C,hanzi_frequency,phase1,49,zuò,7,Jun Da frequency list; filtered by General Standard Level 1
50,里,U+91CC,hanzi_frequency,phase1,50,lǐ,7,Jun Da frequency list; filtered by General Standard Level 1
51,用,U+7528,hanzi_frequency,phase1,51,yòng,5,Jun Da frequency list; filtered by General Standard Level 1
52,道,U+9053,hanzi_frequency,phase1,52,dào,12,Jun Da frequency list; filtered by General Standard Level 1
53,行,U+884C,hanzi_frequency,phase1,53,xíng,6,Jun Da frequency list; filtered by General Standard Level 1
54,所,U+6240,hanzi_frequency,phase1,54,suǒ,8,Jun Da frequency list; filtered by General Standard Level 1
55,然,U+7136,hanzi_frequency,phase1,55,rán,12,Jun Da frequency list; filtered by General Standard Level 1
56,家,U+5BB6,hanzi_frequency,phase1,56,jiā,10,Jun Da frequency list; filtered by General Standard Level 1
57,种,U+79CD,hanzi_frequency,phase1,57,zhǒng,9,Jun Da frequency list; filtered by General Standard Level 1
58,事,U+4E8B,hanzi_frequency,phase1,58,shì,8,Jun Da frequency list; filtered by General Standard Level 1
59,成,U+6210,hanzi_frequency,phase1,59,chéng,6,Jun Da frequency list; filtered by General Standard Level 1
60,方,U+65B9,hanzi_frequency,phase1,60,fāng,4,Jun Da frequency list; filtered by General Standard Level 1
61,多,U+591A,hanzi_frequency,phase1,61,duō,6,Jun Da frequency list; filtered by General Standard Level 1
62,经,U+7ECF,hanzi_frequency,phase1,62,jīng,8,Jun Da frequency list; filtered by General Standard Level 1
63,么,U+4E48,hanzi_frequency,phase1,63,me,3,Jun Da frequency list; filtered by General Standard Level 1
64,去,U+53BB,hanzi_frequency,phase1,64,qù,5,Jun Da frequency list; filtered by General Standard Level 1
65,法,U+6CD5,hanzi_frequency,phase1,65,fǎ,8,Jun Da frequency list; filtered by General Standard Level 1
66,学,U+5B66,hanzi_frequency,phase1,66,xué,8,Jun Da frequency list; filtered by General Standard Level 1
67,如,U+5982,hanzi_frequency,phase1,67,rú,6,Jun Da frequency list; filtered by General Standard Level 1
68,都,U+90FD,hanzi_frequency,phase1,68,dōu,10,Jun Da frequency list; filtered by General Standard Level 1
69,同,U+540C,hanzi_frequency,phase1,69,tóng,6,Jun Da frequency list; filtered by General Standard Level 1
70,现,U+73B0,hanzi_frequency,phase1,70,xiàn,8,Jun Da frequency list; filtered by General Standard Level 1
71,当,U+5F53,hanzi_frequency,phase1,71,dāng,6,Jun Da frequency list; filtered by General Standard Level 1
72,没,U+6CA1,hanzi_frequency,phase1,72,méi,7,Jun Da frequency list; filtered by General Standard Level 1
73,动,U+52A8,hanzi_frequency,phase1,73,dòng,6,Jun Da frequency list; filtered by General Standard Level 1
74,面,U+9762,hanzi_frequency,phase1,74,miàn,9,Jun Da frequency list; filtered by General Standard Level 1
75,起,U+8D77,hanzi_frequency,phase1,75,qǐ,10,Jun Da frequency list; filtered by General Standard Level 1
76,看,U+770B,hanzi_frequency,phase1,76,kàn,9,Jun Da frequency list; filtered by General Standard Level 1
77,定,U+5B9A,hanzi_frequency,phase1,77,dìng,8,Jun Da frequency list; filtered by General Standard Level 1
78,天,U+5929,hanzi_frequency,phase1,78,tiān,4,Jun Da frequency list; filtered by General Standard Level 1
79,分,U+5206,hanzi_frequency,phase1,79,fēn,4,Jun Da frequency list; filtered by General Standard Level 1
80,还,U+8FD8,hanzi_frequency,phase1,80,hái,7,Jun Da frequency list; filtered by General Standard Level 1
81,进,U+8FDB,hanzi_frequency,phase1,81,jìn,7,Jun Da frequency list; filtered by General Standard Level 1
82,好,U+597D,hanzi_frequency,phase1,82,hǎo,6,Jun Da frequency list; filtered by General Standard Level 1
83,小,U+5C0F,hanzi_frequency,phase1,83,xiǎo,3,Jun Da frequency list; filtered by General Standard Level 1
84,部,U+90E8,hanzi_frequency,phase1,84,bù,10,Jun Da frequency list; filtered by General Standard Level 1
85,其,U+5176,hanzi_frequency,phase1,85,qí,8,Jun Da frequency list; filtered by General Standard Level 1
86,些,U+4E9B,hanzi_frequency,phase1,86,xiē,8,Jun Da frequency list; filtered by General Standard Level 1
87,主,U+4E3B,hanzi_frequency,phase1,87,zhǔ,5,Jun Da frequency list; filtered by General Standard Level 1
88,样,U+6837,hanzi_frequency,phase1,88,yàng,10,Jun Da frequency list; filtered by General Standard Level 1
89,理,U+7406,hanzi_frequency,phase1,89,lǐ,11,Jun Da frequency list; filtered by General Standard Level 1
90,心,U+5FC3,hanzi_frequency,phase1,90,xīn,4,Jun Da frequency list; filtered by General Standard Level 1
91,她,U+5979,hanzi_frequency,phase1,91,tā,6,Jun Da frequency list; filtered by General Standard Level 1
92,本,U+672C,hanzi_frequency,phase1,92,běn,5,Jun Da frequency list; filtered by General Standard Level 1
